statusId | label,,
516|Acc Gyro,,
517|Acc Gyro,,
518|Acc Gyro,,
519|Acc Gyro,,
520|Acc Gyro,,
521|Acc Gyro,,
522|Acc Gyro,,
523|Acc Gyro,,
524|Acc Gyro,,
525|Acc Gyro,,
526|Acc Gyro,,
527|Acc Gyro,,
statusId|sensorName|value|timestamp,,
516|MPU6500 Gyroscope Sensor|[-0.018109497,-0.018109497,-0.002130529]|1500643337495
516|MPU6500 Acceleration Sensor|[-0.60214174,1.8866309,9.495404]|1500643337499
516|MPU6500 Gyroscope Sensor|[-0.011717909,-0.008522116,-0.0010652645]|1500643337499
516|MPU6500 Acceleration Sensor|[-0.17357962,1.4496891,9.155427]|1500643337505
516|MPU6500 Gyroscope Sensor|[-0.011717909,-0.015978966,-0.004261058]|1500643337505
516|MPU6500 Acceleration Sensor|[-0.051475335,1.5957354,8.930372]|1500643337510
516|MPU6500 Gyroscope Sensor|[-0.03089267,-0.011717909,-0.0053263223]|1500643337510
516|MPU6500 Acceleration Sensor|[-0.5410896,1.8243817,9.168595]|1500643337515
516|MPU6500 Gyroscope Sensor|[-0.03195793,-0.013848438,-0.004261058]|1500643337515
516|MPU6500 Acceleration Sensor|[-0.9516952,2.2290018,9.345766]|1500643337520
516|MPU6500 Gyroscope Sensor|[-0.007456851,-0.002130529,0.002130529]|1500643337520
516|MPU6500 Acceleration Sensor|[-0.7517793,2.4708161,9.637859]|1500643337525
516|MPU6500 Gyroscope Sensor|[0.008522116,-0.007456851,0.0053263223]|1500643337525
516|MPU6500 Acceleration Sensor|[-0.5542577,2.135628,9.489418]|1500643337529
516|MPU6500 Gyroscope Sensor|[0.007456851,-0.012783174,0.0010652645]|1500643337529
516|MPU6500 Acceleration Sensor|[-0.59495914,1.7178397,9.288305]|1500643337535
516|MPU6500 Gyroscope Sensor|[-0.0053263223,-0.011717909,-0.002130529]|1500643337535
516|MPU6500 Acceleration Sensor|[-0.7134721,1.3874398,9.215282]|1500643337540
516|MPU6500 Gyroscope Sensor|[-0.02130529,-0.008522116,-0.002130529]|1500643337540
516|MPU6500 Acceleration Sensor|[-0.8834604,1.4269443,9.223662]|1500643337545
516|MPU6500 Gyroscope Sensor|[-0.023435818,-0.012783174,-0.0031957934]|1500643337545
516|MPU6500 Acceleration Sensor|[-0.6799533,1.5263035,9.463082]|1500643337549
516|MPU6500 Gyroscope Sensor|[-0.011717909,-0.00958738,-0.002130529]|1500643337549
516|MPU6500 Acceleration Sensor|[-0.60932434,1.6603789,10.223241]|1500643337555
516|MPU6500 Gyroscope Sensor|[0.0,-0.01917476,-0.002130529]|1500643337555
516|MPU6500 Acceleration Sensor|[-0.7589619,2.0494366,9.423578]|1500643337559
516|MPU6500 Gyroscope Sensor|[0.007456851,-0.012783174,0.0]|1500643337559
516|MPU6500 Acceleration Sensor|[-0.78410107,2.420538,9.689334]|1500643337565
516|MPU6500 Gyroscope Sensor|[-0.0031957934,-0.017044231,-0.0010652645]|1500643337565
516|MPU6500 Acceleration Sensor|[-0.70509243,2.3235726,9.433155]|1500643337570
