statusId | label
533|Acc Gyro
534|Acc Gyro
535|Acc Gyro
536|Acc Gyro
537|Acc Gyro
538|Acc Gyro
539|Acc Gyro
540|Acc Gyro
541|Acc Gyro
542|Acc Gyro
543|Acc Gyro
544|Acc Gyro
545|Acc Gyro
546|Acc Gyro
547|Acc Gyro
548|Acc Gyro
549|Acc Gyro
550|Acc Gyro
551|Acc Gyro
552|Acc Gyro
553|Acc Gyro
554|Acc Gyro
555|Acc Gyro
556|Acc Gyro
557|Acc Gyro
558|Acc Gyro
559|Acc Gyro
560|Acc Gyro
561|Acc Gyro
562|Acc Gyro
563|Acc Gyro
564|Acc Gyro
565|Acc Gyro
566|Acc Gyro
567|Acc Gyro
568|Acc Gyro
569|Acc Gyro
570|Acc Gyro
statusId|sensorName|value|timestamp
533|MPU6500 Gyroscope Sensor|[0.034088463,0.084155895,0.026631612]|1500663731453
533|MPU6500 Acceleration Sensor|[1.6089035,0.49799395,10.852917]|1500663731458
533|MPU6500 Gyroscope Sensor|[0.023435818,0.10652645,0.014913702]|1500663731458
533|MPU6500 Acceleration Sensor|[0.6955156,-0.5494693,11.249157]|1500663731462
533|MPU6500 Gyroscope Sensor|[0.041545313,0.11611383,0.018109497]|1500663731462
533|MPU6500 Acceleration Sensor|[0.30526072,-0.557849,11.307815]|1500663731468
533|MPU6500 Gyroscope Sensor|[0.07669904,0.11824436,0.02130529]|1500663731469
533|MPU6500 Acceleration Sensor|[0.51235914,-0.37588966,10.521319]|1500663731472
533|MPU6500 Gyroscope Sensor|[0.07989483,0.12996227,0.017044231]|1500663731472
533|MPU6500 Acceleration Sensor|[0.47524905,-0.6727707,10.301053]|1500663731477
533|MPU6500 Gyroscope Sensor|[0.03834952,0.13102753,0.020240024]|1500663731477
533|MPU6500 Acceleration Sensor|[-0.32202014,-1.0151415,10.328587]|1500663731482
533|MPU6500 Gyroscope Sensor|[0.015978966,0.11930962,0.022370555]|1500663731482
533|MPU6500 Acceleration Sensor|[-0.23104046,-0.49919105,9.378088]|1500663731488
